epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,1414.73,0.59582,0.5232,0.84928,0.94484,0.94872,0.9648,0.77305,0.70244,0.54903,0.83807,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
66,1436.19,0.57166,0.53311,0.86734,0.94935,0.96137,0.96523,0.76784,0.75499,0.54799,0.84207,0.00117375,0.00039125,0.00117375,0.00039125,0.00117375,0.00039125,0.00117375,0.00039125
67,1457.3,0.58757,0.52825,0.85777,0.92542,0.95466,0.9733,0.78606,0.70217,0.52961,0.83274,0.0010995,0.0003665,0.0010995,0.0003665,0.0010995,0.0003665,0.0010995,0.0003665
68,1477.32,0.56465,0.50226,0.8626,0.91796,0.94872,0.9737,0.79099,0.69251,0.50972,0.83082,0.00102525,0.00034175,0.00102525,0.00034175,0.00102525,0.00034175,0.00102525,0.00034175
69,1497.49,0.56321,0.51944,0.86963,0.91217,0.92308,0.97333,0.79371,0.67536,0.53556,0.83116,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
70,1520.63,0.56255,0.49997,0.85597,0.92236,0.91405,0.96741,0.79189,0.702,0.54249,0.83193,0.00087675,0.00029225,0.00087675,0.00029225,0.00087675,0.00029225,0.00087675,0.00029225
71,1547.67,0.5348,0.55438,0.83918,0.94552,0.89744,0.95242,0.75931,0.72222,0.57297,0.83572,0.0008025,0.0002675,0.0008025,0.0002675,0.0008025,0.0002675,0.0008025,0.0002675
72,1567.97,0.54293,0.55146,0.83348,0.94581,0.89515,0.96494,0.7734,0.71044,0.58001,0.83453,0.00072825,0.00024275,0.00072825,0.00024275,0.00072825,0.00024275,0.00072825,0.00024275
73,1590.34,0.51457,0.54275,0.83296,0.92274,0.91885,0.97113,0.77852,0.69527,0.50586,0.83278,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
74,1609.75,0.52988,0.51971,0.82808,0.92312,0.9236,0.97095,0.78848,0.70075,0.53169,0.8321,0.00057975,0.00019325,0.00057975,0.00019325,0.00057975,0.00019325,0.00057975,0.00019325
75,1630.73,0.52815,0.51707,0.82925,0.92293,0.92125,0.97652,0.79936,0.67667,0.51196,0.83287,0.0005055,0.0001685,0.0005055,0.0001685,0.0005055,0.0001685,0.0005055,0.0001685
76,1651.07,0.51099,0.51184,0.8207,0.94588,0.89633,0.97378,0.79292,0.70372,0.51205,0.835,0.00043125,0.00014375,0.00043125,0.00014375,0.00043125,0.00014375,0.00043125,0.00014375
77,1671.49,0.49937,0.51175,0.81175,0.94453,0.89744,0.97225,0.79242,0.70884,0.52751,0.83516,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
78,1693.21,0.50546,0.50099,0.83418,0.94589,0.89744,0.97081,0.79153,0.71458,0.53425,0.83487,0.00028275,9.425e-05,0.00028275,9.425e-05,0.00028275,9.425e-05,0.00028275,9.425e-05
79,1713.05,0.47785,0.49611,0.81095,0.94571,0.89744,0.9686,0.78738,0.71257,0.54229,0.83481,0.0002085,6.95e-05,0.0002085,6.95e-05,0.0002085,6.95e-05,0.0002085,6.95e-05
80,1735.71,0.50595,0.5128,0.83037,0.94578,0.89464,0.96841,0.78213,0.70745,0.53545,0.83389,0.00013425,4.475e-05,0.00013425,4.475e-05,0.00013425,4.475e-05,0.00013425,4.475e-05
